Open,Close,High,Low,ATR,MACD,Signal Line,Trade
13851.6,13857.0,13859.5,13850.2,28.899999999999896,-67.87,-7.89,SELL
13857.2,13863.0,13865.2,13856.7,28.47142857142847,-76.19,-17.0,SELL
14220.5,14245.7,14245.9,14214.8,22.22142857142847,-66.86,-39.27,SELL
14245.5,14252.9,14257.4,14237.3,21.61428571428561,-61.43,-42.11,SELL
14253.7,14250.8,14260.8,14248.3,20.43571428571418,-56.51,-45.78,SELL
14372.4,14347.2,14375.0,14342.2,19.54285714285717,15.31,7.88,BUY
14258.0,14245.0,14261.2,14241.4,18.49999999999974,16.21,9.41,BUY
14292.5,14298.0,14301.5,14291.8,15.578571428571324,-8.25,12.11,SELL
14280.2,14285.8,14287.4,14278.9,13.942857142857195,5.02,10.79,SELL
14420.9,14420.8,14425.4,14410.0,14.65714285714291,-35.14,-14.62,SELL
14518.7,14514.7,14518.9,14509.7,9.900000000000025,-15.37,-23.36,BUY
14513.7,14514.0,14517.0,14512.1,9.664285714285663,-19.39,-26.39,BUY
14514.1,14513.9,14516.0,14513.4,9.349999999999975,-22.85,-28.83,BUY
14651.2,14647.5,14653.9,14635.7,20.699999999999687,-20.78,-13.05,SELL
14647.1,14644.3,14651.5,14640.6,19.849999999999714,-21.4,-12.93,SELL
14619.5,14643.5,14643.5,14616.8,16.74999999999987,-26.78,-19.8,SELL
14556.3,14558.9,14559.0,14556.3,9.471428571428337,-6.46,-16.4,BUY
14538.9,14539.9,14541.4,14532.8,5.714285714285714,-0.72,-6.9,BUY
14393.9,14372.9,14396.9,14368.0,26.542857142857038,31.62,23.7,BUY
14299.3,14294.9,14300.9,14294.9,15.907142857142519,19.68,13.15,BUY
14295.4,14293.8,14296.4,14292.8,14.528571428571142,19.76,12.28,BUY
14496.2,14512.7,14513.7,14483.4,24.700000000000077,36.61,19.3,BUY
14512.5,14530.0,14530.7,14505.1,24.59285714285722,32.55,25.1,BUY
14547.4,14557.7,14557.7,14544.1,21.471428571428728,26.41,30.93,SELL
14557.4,14555.2,14558.4,14548.4,19.828571428571585,24.23,31.38,SELL
14902.6,14896.7,14918.0,14892.5,26.92857142857156,23.84,15.07,BUY
14882.1,14893.4,14894.6,14875.2,18.849999999999845,-0.94,2.38,SELL
14899.9,14906.7,14911.2,14898.2,10.757142857143142,13.25,-7.45,BUY
15074.2,15062.2,15076.9,15044.4,30.1785714285713,-53.21,-7.45,SELL
15120.8,15093.9,15130.1,15090.2,26.90714285714304,-32.8,-9.72,SELL
15093.8,15108.3,15109.4,15090.2,25.90714285714304,-31.63,-11.62,SELL
15122.7,15099.2,15125.7,15098.9,23.307142857142935,-28.97,-26.81,SELL
15171.7,15152.7,15181.5,15151.7,27.314285714285557,-1.33,-3.16,BUY
14994.9,14999.6,15011.1,14991.8,23.04999999999979,49.08,15.88,BUY
14889.8,14861.4,14890.5,14861.3,22.43571428571431,39.62,0.09,BUY
14848.8,14868.3,14868.3,14846.5,21.97857142857148,33.3,4.52,BUY
14868.9,14877.2,14890.0,14867.5,22.142857142857142,29.6,8.99,BUY
14820.3,14818.9,14824.9,14818.3,9.34285714285709,21.77,7.45,BUY
14819.4,14816.6,14821.3,14814.8,9.435714285714182,20.35,6.42,BUY
14952.1,14963.8,14965.3,14944.6,22.235714285714234,-31.39,-0.95,SELL
14964.0,14958.3,14976.0,14954.1,22.142857142857014,-24.93,-6.14,SELL
14951.0,14940.1,14954.5,14936.4,9.86428571428587,2.03,-4.51,BUY
14907.7,14913.9,14913.9,14896.4,32.56428571428569,2.98,-4.26,BUY
14914.2,14890.7,14916.1,14883.9,32.48571428571423,0.71,-5.36,BUY
14936.3,14938.3,14946.3,14934.1,14.585714285714337,-15.27,-11.38,SELL
14737.0,14719.0,14741.9,14711.6,27.121428571428492,44.22,23.84,BUY
14718.9,14718.8,14735.8,14710.9,27.564285714285557,44.18,32.49,BUY
14740.7,14740.7,14750.2,14735.6,24.95714285714283,48.45,46.59,BUY
14709.9,14706.5,14710.3,14703.7,14.714285714285584,22.81,32.56,SELL
14741.4,14734.6,14742.4,14726.3,8.278571428571402,-1.95,13.34,SELL
14912.6,14905.2,14914.3,14901.2,14.471428571428598,-29.75,-5.44,SELL
14905.3,14918.3,14924.6,14905.3,14.900000000000025,-28.57,-10.82,SELL
14928.2,14932.2,14933.7,14921.1,28.192857142857065,19.25,-11.2,BUY
14893.0,14901.9,14905.3,14888.1,33.71428571428545,24.14,-12.35,BUY
14950.9,14955.4,14963.3,14948.2,22.13571428571413,-2.49,-8.33,BUY
15119.5,15111.2,15120.1,15110.6,6.807142857142805,1.72,-8.52,BUY
15212.7,15204.3,15214.2,15197.1,18.34285714285722,-15.38,-6.37,SELL
15026.5,15015.9,15027.7,15013.5,21.107142857142986,3.05,6.28,SELL
15066.6,15080.9,15089.4,15065.6,28.035714285714157,-2.35,-13.33,BUY
15182.8,15186.9,15192.4,15182.5,12.392857142857142,-28.49,-10.2,SELL
14988.6,14992.8,14994.3,14988.5,8.664285714285663,30.02,-6.57,BUY
14993.7,14991.5,14994.6,14989.8,9.45714285714283,27.26,-0.16,BUY
15042.2,15029.7,15042.2,15023.1,20.535714285714285,-15.83,-14.02,SELL
15153.7,15157.3,15158.1,15148.7,6.2714285714286495,-14.05,-7.75,SELL
15157.2,15153.2,15157.2,15152.3,6.435714285714441,-12.89,-7.32,SELL
15279.4,15271.8,15283.6,15267.6,23.77857142857179,34.61,-7.44,BUY
15650.4,15642.7,15651.9,15619.8,17.928571428571168,1.3,-1.72,BUY
15651.7,15655.7,15659.2,15647.1,18.307142857142804,-9.18,0.1,SELL
15816.4,15814.2,15822.0,15813.2,14.407142857142778,-34.0,-5.9,SELL
15812.5,15819.5,15821.2,15808.4,14.11428571428574,-29.85,-10.63,SELL
15819.2,15816.9,15820.1,15809.7,14.107142857142858,-25.57,-13.03,SELL
15864.8,15874.0,15874.1,15864.6,9.685714285714441,-14.07,-19.21,BUY
15785.0,15783.7,15794.0,15780.2,18.285714285714416,21.1,-0.5,BUY
15783.9,15792.9,15799.9,15783.7,18.171428571428674,18.13,4.09,BUY
15494.7,15507.6,15510.2,15493.8,18.13571428571439,11.54,8.89,BUY
15481.6,15474.3,15492.8,15473.8,24.371428571428883,-8.26,3.31,SELL
15431.3,15441.0,15447.0,15430.1,16.578571428571713,0.72,-2.39,BUY
15441.1,15434.6,15443.5,15429.6,14.592857142857222,2.39,-0.75,BUY
15518.0,15516.5,15520.1,15512.9,12.664285714285922,31.07,0.19,BUY
15516.6,15516.9,15519.6,15513.6,12.442857142857324,35.96,6.26,BUY
15523.6,15518.1,15524.9,15514.5,27.91428571428566,-11.07,6.73,SELL
15691.4,15696.4,15696.7,15690.6,18.971428571428856,-50.25,-15.85,SELL
15696.2,15694.2,15697.5,15691.2,18.850000000000232,-53.97,-24.4,SELL
15690.0,15687.7,15690.0,15684.2,18.607142857142858,-76.23,-44.17,SELL
